id,title,description,priority,complexity,estimated_hours,status,tasks,assigned_to
36,Design password reset flow,"## Overview
Task for sprint: Enable users to reset their passwords through email.

## Requirements

## Acceptance Criteria
1. Design password reset flow
2. Implement password reset request
3. Create secure token generation
4. Implement email notification
5. Develop password update page
6. Test password reset functionality
",medium,1,16.0,backlog,"Design password reset flow, Implement password reset request, Create secure token generation, Implement email notification, Develop password update page, Test password reset functionality",
37,Implement password reset request form,"## Overview
Task for sprint: Enable users to reset their passwords through email.

## Requirements

## Acceptance Criteria
1. Design password reset flow
2. Implement password reset request
3. Create secure token generation
4. Implement email notification
5. Develop password update page
6. Test password reset functionality
",medium,1,16.0,in_progress,"Design password reset flow, Implement password reset request, Create secure token generation, Implement email notification, Develop password update page, Test password reset functionality",5.0
38,Create secure token generation,"## Overview
Task for sprint: Enable users to reset their passwords through email.

## Requirements

## Acceptance Criteria
1. Design password reset flow
2. Implement password reset request
3. Create secure token generation
4. Implement email notification
5. Develop password update page
6. Test password reset functionality
",medium,1,14.0,backlog,"Design password reset flow, Implement password reset request, Create secure token generation, Implement email notification, Develop password update page, Test password reset functionality",
39,Implement email notification system,"## Overview
Task for sprint: Enable users to reset their passwords through email.

## Requirements

## Acceptance Criteria
1. Design password reset flow
2. Implement password reset request
3. Create secure token generation
4. Implement email notification
5. Develop password update page
6. Test password reset functionality
",medium,1,17.0,backlog,"Design password reset flow, Implement password reset request, Create secure token generation, Implement email notification, Develop password update page, Test password reset functionality",
40,Develop password update page,"## Overview
Task for sprint: Enable users to reset their passwords through email.

## Requirements

## Acceptance Criteria
1. Design password reset flow
2. Implement password reset request
3. Create secure token generation
4. Implement email notification
5. Develop password update page
6. Test password reset functionality
",high,2,21.0,backlog,"Design password reset flow, Implement password reset request, Create secure token generation, Implement email notification, Develop password update page, Test password reset functionality",
41,Test password reset functionality,"## Overview
Task for sprint: Enable users to reset their passwords through email.

## Requirements

## Acceptance Criteria
1. Design password reset flow
2. Implement password reset request
3. Create secure token generation
4. Implement email notification
5. Develop password update page
6. Test password reset functionality
",medium,1,16.0,backlog,"Design password reset flow, Implement password reset request, Create secure token generation, Implement email notification, Develop password update page, Test password reset functionality",
42,Auth User Authentication,"## Overview
Implement secure user authentication with OAuth and password reset functionality.

## Requirements
- Secure user authentication
- Session management
- Password encryption

## Acceptance Criteria
1. Design password reset flow
2. Implement password reset request
3. Create secure token generation
4. Implement email notification
5. Develop password update page
6. Test password reset functionality
",high,2,19.0,backlog,"Design password reset flow, Implement password reset request, Create secure token generation, Implement email notification, Develop password update page, Test password reset functionality",
43,Design password reset flow,"## Overview
Task for sprint: Enable users to reset their passwords through email.

## Requirements

## Acceptance Criteria
1. Design password reset flow
2. Implement password reset request
3. Create secure token generation
4. Implement email notification
5. Develop password update page
6. Test password reset functionality
",medium,1,16.0,backlog,"Design password reset flow, Implement password reset request, Create secure token generation, Implement email notification, Develop password update page, Test password reset functionality",
44,Implement password reset request form,"## Overview
Task for sprint: Enable users to reset their passwords through email.

## Requirements

## Acceptance Criteria
1. Design password reset flow
2. Implement password reset request
3. Create secure token generation
4. Implement email notification
5. Develop password update page
6. Test password reset functionality
",medium,1,16.0,backlog,"Design password reset flow, Implement password reset request, Create secure token generation, Implement email notification, Develop password update page, Test password reset functionality",
45,Create secure token generation,"## Overview
Task for sprint: Enable users to reset their passwords through email.

## Requirements

## Acceptance Criteria
1. Design password reset flow
2. Implement password reset request
3. Create secure token generation
4. Implement email notification
5. Develop password update page
6. Test password reset functionality
",medium,1,15.0,backlog,"Design password reset flow, Implement password reset request, Create secure token generation, Implement email notification, Develop password update page, Test password reset functionality",
46,Implement email notification system,"## Overview
Task for sprint: Enable users to reset their passwords through email.

## Requirements

## Acceptance Criteria
1. Design password reset flow
2. Implement password reset request
3. Create secure token generation
4. Implement email notification
5. Develop password update page
6. Test password reset functionality
",medium,1,14.0,backlog,"Design password reset flow, Implement password reset request, Create secure token generation, Implement email notification, Develop password update page, Test password reset functionality",
47,Develop password update page,"## Overview
Task for sprint: Enable users to reset their passwords through email.

## Requirements

## Acceptance Criteria
1. Design password reset flow
2. Implement password reset request
3. Create secure token generation
4. Implement email notification
5. Develop password update page
6. Test password reset functionality
",high,2,20.0,backlog,"Design password reset flow, Implement password reset request, Create secure token generation, Implement email notification, Develop password update page, Test password reset functionality",
48,Test password reset functionality,"## Overview
Task for sprint: Enable users to reset their passwords through email.

## Requirements

## Acceptance Criteria
1. Design password reset flow
2. Implement password reset request
3. Create secure token generation
4. Implement email notification
5. Develop password update page
6. Test password reset functionality
",medium,1,16.0,backlog,"Design password reset flow, Implement password reset request, Create secure token generation, Implement email notification, Develop password update page, Test password reset functionality",
